"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,11,36,47,0.234042553191489
2006,50,60,110,0.454545454545455
2007,57,36,93,0.612903225806452
2008,42,22,64,0.65625
2009,65,24,89,0.730337078651685
2010,97,22,119,0.815126050420168
