"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,3,185,188,0.0159574468085106
2007,66,93,159,0.415094339622642
2008,94,307,401,0.234413965087282
2009,159,140,299,0.531772575250836
2010,286,319,605,0.472727272727273
