"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,3,44,47,0.0638297872340425
2006,3,107,110,0.0272727272727273
2007,5,88,93,0.0537634408602151
2008,7,57,64,0.109375
2009,16,73,89,0.179775280898876
2010,39,80,119,0.327731092436975
