"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,1,158,159,0.00628930817610063
2008,10,391,401,0.0249376558603491
2009,55,244,299,0.183946488294314
2010,73,532,605,0.120661157024793
