"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,6,395,401,0.0149625935162095
2009,25,274,299,0.0836120401337793
2010,48,557,605,0.0793388429752066
