"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,2,45,47,0.0425531914893617
2006,1,109,110,0.00909090909090909
2007,1,92,93,0.010752688172043
2008,1,63,64,0.015625
2009,16,73,89,0.179775280898876
2010,33,86,119,0.277310924369748
