"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,1,187,188,0.00531914893617021
2007,12,147,159,0.0754716981132075
2008,34,367,401,0.084788029925187
2009,110,189,299,0.367892976588629
2010,132,473,605,0.218181818181818
