"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,8,39,47,0.170212765957447
2006,24,86,110,0.218181818181818
2007,39,54,93,0.419354838709677
2008,35,29,64,0.546875
2009,59,30,89,0.662921348314607
2010,78,41,119,0.65546218487395
