"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,11,148,159,0.0691823899371069
2008,40,361,401,0.0997506234413965
2009,117,182,299,0.391304347826087
2010,143,462,605,0.236363636363636
