"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,1,339,340,0.00294117647058824
2006,6,182,188,0.0319148936170213
2007,38,121,159,0.238993710691824
2008,59,342,401,0.14713216957606
2009,129,170,299,0.431438127090301
2010,149,456,605,0.246280991735537
