"surveyDataYear","numPass","numPassGrid","maskKey","masks","gridKey"
2004,232016,232016,"mask_1","2004_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2005,227587,227587,"mask_1","2005_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2006,207196,207196,"mask_1","2006_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2007,171778,171778,"mask_1","2007_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2008,159959,159959,"mask_1","2008_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2009,139755,139755,"mask_1","2009_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2010,138987,138987,"mask_1","2010_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
