"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,2,157,159,0.0125786163522013
2008,6,395,401,0.0149625935162095
2009,43,256,299,0.1438127090301
2010,53,552,605,0.087603305785124
