"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,3,44,47,0.0638297872340425
2006,1,109,110,0.00909090909090909
2007,1,92,93,0.010752688172043
2008,0,64,64,0
2009,15,74,89,0.168539325842697
2010,26,93,119,0.218487394957983
