"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,8,39,47,0.170212765957447
2006,14,96,110,0.127272727272727
2007,27,66,93,0.290322580645161
2008,27,37,64,0.421875
2009,58,31,89,0.651685393258427
2010,82,37,119,0.689075630252101
