"Y","X","numRealSurveysInCell"
278,431,1
284,425,1
293,488,1
294,485,1
296,479,1
296,501,1
298,401,1
300,395,1
300,501,1
302,411,1
302,485,1
302,487,1
305,495,1
308,509,1
309,397,1
309,401,1
309,406,1
310,404,1
310,479,1
311,403,1
311,487,1
313,444,1
313,451,1
313,463,1
313,472,1
315,513,1
316,459,1
316,479,1
317,508,1
318,523,1
319,488,1
320,520,1
321,480,2
322,440,1
322,449,1
324,457,1
324,468,1
326,426,1
326,430,1
327,485,1
327,507,1
328,471,1
328,517,1
328,521,1
329,477,1
329,500,1
329,514,1
330,454,1
331,461,1
337,502,1
340,523,1
342,499,1
344,514,1
346,417,1
347,500,1
349,519,1
350,414,1
350,420,1
351,495,1
352,423,1
353,482,1
354,507,1
354,509,1
355,436,1
357,515,1
358,490,1
360,433,1
362,499,1
362,509,1
362,514,1
362,519,1
363,504,1
365,498,1
366,503,1
366,510,1
367,433,1
370,521,1
371,502,1
372,438,1
374,514,1
377,442,1
379,504,1
380,511,1
382,508,1
383,444,1
383,517,1
384,514,1
385,429,1
388,502,1
389,446,1
390,416,1
392,429,1
393,420,1
393,489,1
394,425,1
394,436,1
395,445,1
396,421,1
398,437,1
400,500,1
402,421,1
403,461,1
403,462,1
403,486,1
406,471,1
408,420,1
408,430,1
409,467,1
