"Y","X","numRealSurveysInCell"
273,530,1
275,533,1
278,526,1
279,528,1
282,535,1
285,527,1
287,533,1
293,528,1
295,537,1
342,536,1
352,568,1
354,571,1
356,566,1
357,562,1
357,565,1
359,558,1
359,569,1
360,562,1
360,574,1
361,574,1
363,557,1
363,559,1
366,575,1
367,564,1
367,567,1
367,575,1
369,574,2
369,579,1
372,571,1
385,574,1
388,571,1
391,565,1
393,567,1
394,564,1
394,567,1
395,567,1
395,572,1
395,577,1
397,573,1
398,579,1
400,572,1
401,564,1
402,580,1
405,566,1
405,578,1
407,576,1
409,565,1
