"Y","X","numRealSurveysInCell"
65,259,1
70,252,1
71,202,1
74,251,1
75,182,1
76,197,1
76,230,1
76,241,1
77,187,1
78,188,1
79,179,1
80,204,1
82,184,1
84,171,1
84,173,1
84,210,1
85,168,1
85,189,1
85,253,1
87,175,1
88,173,1
88,179,1
89,195,1
90,167,1
90,201,1
91,167,1
91,204,1
92,173,1
92,178,1
93,166,1
95,177,1
95,192,1
96,192,1
96,247,1
97,166,1
97,186,1
98,170,1
98,175,1
99,180,1
99,207,1
101,166,1
101,196,1
103,241,1
103,259,1
104,168,1
104,207,1
105,202,1
107,212,1
108,165,1
109,256,1
111,239,1
112,217,1
114,259,1
115,230,1
115,236,1
134,170,1
135,162,1
135,176,1
