"Y","X","numRealSurveysInCell"
410,526,1
412,531,1
412,555,1
412,568,1
412,569,1
413,537,1
413,546,1
413,560,1
418,530,1
418,546,1
419,564,1
420,551,1
424,565,1
426,543,1
427,549,1
431,548,1
433,535,1
433,542,1
437,538,1
437,549,1
440,525,1
440,549,1
442,543,1
442,547,1
444,539,1
446,546,1
447,535,1
448,536,1
448,542,1
450,530,1
451,524,1
451,537,1
451,542,1
454,526,1
455,533,1
455,534,1
455,543,1
456,539,1
459,529,1
459,543,1
460,536,1
462,538,1
463,528,1
463,543,1
464,530,1
465,533,1
465,536,1
466,540,1
468,535,1
470,533,1
472,529,1
473,524,1
473,532,1
476,533,1
478,526,1
