"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,3,44,47,0.0638297872340425
2006,4,106,110,0.0363636363636364
2007,3,90,93,0.032258064516129
2008,3,61,64,0.046875
2009,21,68,89,0.235955056179775
2010,30,89,119,0.252100840336134
