"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,3,156,159,0.0188679245283019
2008,5,396,401,0.0124688279301746
2009,44,255,299,0.147157190635452
2010,57,548,605,0.0942148760330579
