"year","nPos","nNeg","nTotal","propPos"
2004,3,89,92,0.0326086956521739
2005,8,39,47,0.170212765957447
2006,32,78,110,0.290909090909091
2007,54,39,93,0.580645161290323
2008,37,27,64,0.578125
2009,66,23,89,0.741573033707865
2010,86,33,119,0.722689075630252
