"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,3,156,159,0.0188679245283019
2008,28,373,401,0.0698254364089776
2009,106,193,299,0.354515050167224
2010,114,491,605,0.188429752066116
