"surveyDataYear","numPass","numPassGrid","maskKey","masks","gridKey"
2004,231468,231468,"mask_3","2004_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2005,228124,228124,"mask_3","2005_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2006,216249,216249,"mask_3","2006_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2007,141376,141376,"mask_3","2007_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2008,104817,104817,"mask_3","2008_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2009,103864,103864,"mask_3","2009_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
2010,103789,103789,"mask_3","2010_mask_uga_kam_0.35","grid-tol_applied_only_where_both_bool-1.00"
