"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,1,339,340,0.00294117647058824
2006,7,181,188,0.0372340425531915
2007,70,89,159,0.440251572327044
2008,103,298,401,0.256857855361596
2009,165,134,299,0.551839464882943
2010,273,332,605,0.451239669421488
