"year","nPos","nNeg","nTotal","propPos"
2004,1,91,92,0.0108695652173913
2005,11,36,47,0.234042553191489
2006,49,61,110,0.445454545454545
2007,64,29,93,0.688172043010753
2008,41,23,64,0.640625
2009,64,25,89,0.719101123595506
2010,94,25,119,0.789915966386555
