"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,12,35,47,0.25531914893617
2006,36,74,110,0.327272727272727
2007,48,45,93,0.516129032258065
2008,36,28,64,0.5625
2009,58,31,89,0.651685393258427
2010,85,34,119,0.714285714285714
