"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,1,187,188,0.00531914893617021
2007,3,156,159,0.0188679245283019
2008,28,373,401,0.0698254364089776
2009,99,200,299,0.331103678929766
2010,128,477,605,0.211570247933884
