"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,10,391,401,0.0249376558603491
2009,76,223,299,0.254180602006689
2010,99,506,605,0.163636363636364
