"year","nPos","nNeg","nTotal","propPos"
2004,1,91,92,0.0108695652173913
2005,9,38,47,0.191489361702128
2006,26,84,110,0.236363636363636
2007,51,42,93,0.548387096774194
2008,35,29,64,0.546875
2009,64,25,89,0.719101123595506
2010,85,34,119,0.714285714285714
