"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,0,401,401,0
2009,6,293,299,0.020066889632107
2010,28,577,605,0.0462809917355372
