"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,2,45,47,0.0425531914893617
2006,0,110,110,0
2007,1,92,93,0.010752688172043
2008,0,64,64,0
2009,4,85,89,0.0449438202247191
2010,21,98,119,0.176470588235294
