"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,9,392,401,0.0224438902743142
2009,39,260,299,0.130434782608696
2010,72,533,605,0.11900826446281
