"year","nPos","nNeg","nTotal","propPos"
2004,2,90,92,0.0217391304347826
2005,8,39,47,0.170212765957447
2006,58,52,110,0.527272727272727
2007,66,27,93,0.709677419354839
2008,41,23,64,0.640625
2009,72,17,89,0.808988764044944
2010,90,29,119,0.756302521008403
