"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,10,37,47,0.212765957446809
2006,21,89,110,0.190909090909091
2007,42,51,93,0.451612903225806
2008,37,27,64,0.578125
2009,64,25,89,0.719101123595506
2010,90,29,119,0.756302521008403
