criteria,gridTol
tol_applied_only_where_both_bool,0.79
tol_applied_only_where_both_bool,0.74
tol_applied_only_where_both_bool,0.69
tol_applied_only_where_both_bool,0.64
tol_applied_only_where_both_bool,0.58
tol_applied_only_where_both_bool,0.53
tol_applied_only_where_both_bool,0.48
tol_applied_only_where_both_bool,0.43
tol_applied_only_where_both_bool,0.37
tol_applied_only_where_both_bool,0.32
tol_applied_only_where_both_bool,0.27

