"year","x","y","cbsd","vector","dataset","country","unqId","countryCode"
2004,31.67317,-0.195,0,18.13333333,"A","Uganda",NA,"UGA"
2004,31.75883,-0.1878333,0,19.73333333,"A","Uganda",NA,"UGA"
2004,31.65433,-0.1863333,0,416.2,"A","Uganda",NA,"UGA"
2004,30.24017,-0.1751667,0,0,"A","Uganda",NA,"UGA"
2004,31.859,-0.1706667,0,5.8,"A","Uganda",NA,"UGA"
2004,31.61667,-0.1636667,0,16.86666667,"A","Uganda",NA,"UGA"
2004,31.75567,-0.1551667,0,7.333333333,"A","Uganda",NA,"UGA"
2004,31.65233,-0.1343333,0,37.73333333,"A","Uganda",NA,"UGA"
2004,31.56617,-0.1226667,0,86,"A","Uganda",NA,"UGA"
2004,31.879,-0.1226667,0,5.4,"A","Uganda",NA,"UGA"
2004,30.23567,-0.1145,0,6.733333333,"A","Uganda",NA,"UGA"
2004,31.61917,-0.1108333,0,641.3333333,"A","Uganda",NA,"UGA"
2004,31.7595,-0.1086667,0,40.6,"A","Uganda",NA,"UGA"
2004,31.5715,-0.09216667,0,20.73333333,"A","Uganda",NA,"UGA"
2004,31.584,-0.075,0,9,"A","Uganda",NA,"UGA"
2004,31.861,-0.07,0,5.133333333,"A","Uganda",NA,"UGA"
2004,31.74333,-0.04433333,0,12,"A","Uganda",NA,"UGA"
2004,29.8,-0.013,0,5.2,"A","Uganda",NA,"UGA"
2004,31.79383,-0.01233333,0,9.466666667,"A","Uganda",NA,"UGA"
2004,31.7595,-0.007333333,0,25.26666667,"A","Uganda",NA,"UGA"
2004,29.7635,-0.002166667,0,0.133333333,"A","Uganda",NA,"UGA"
2004,29.85833,0.000833333,0,4.333333333,"A","Uganda",NA,"UGA"
2004,29.82517,0.014,0,0.533333333,"A","Uganda",NA,"UGA"
2004,29.8955,0.01466667,0,1.533333333,"A","Uganda",NA,"UGA"
2004,29.7875,0.01883333,0,4.466666667,"A","Uganda",NA,"UGA"
2004,29.75183,0.03833333,0,0.2,"A","Uganda",NA,"UGA"
2004,29.85283,0.03883333,0,658.2666667,"A","Uganda",NA,"UGA"
2004,29.77017,0.0405,0,54.26666667,"A","Uganda",NA,"UGA"
2004,29.91817,0.04883333,0,1.8,"A","Uganda",NA,"UGA"
2004,29.73567,0.06816667,0,0.266666667,"A","Uganda",NA,"UGA"
2004,29.88567,0.06966667,0,0.333333333,"A","Uganda",NA,"UGA"
2004,29.93033,0.08983333,0,0.2,"A","Uganda",NA,"UGA"
2004,32.54452,0.1009167,0,16.06666667,"A","Uganda",NA,"UGA"
2004,29.9395,0.1025,0,0.066666667,"A","Uganda",NA,"UGA"
2004,29.945,0.1046667,0,1.733333333,"A","Uganda",NA,"UGA"
2004,32.53043,0.1486167,0,111.7333333,"A","Uganda",NA,"UGA"
2004,32.39317,0.1598167,0,63.53333333,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,4.866666667,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,11.2,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,18.46666667,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,23.46666667,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,215.8,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,41.73333333,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,116.5333333,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,9.642857143,"A","Uganda",NA,"UGA"
2004,32.54472,0.1599333,0,8.666666667,"A","Uganda",NA,"UGA"
2004,32.41905,0.1658667,0,176.6666667,"A","Uganda",NA,"UGA"
2004,32.52802,0.1783833,0,28.6,"A","Uganda",NA,"UGA"
2004,32.37368,0.1897,0,1539.533333,"A","Uganda",NA,"UGA"
2004,32.47545,0.2021833,0,531.7333333,"A","Uganda",NA,"UGA"
2004,32.47545,0.2021833,0,322.2666667,"A","Uganda",NA,"UGA"
2004,30.10783,0.2333333,0,2.8,"A","Uganda",NA,"UGA"
2004,33.98867,0.2405,0,17.6,"A","Uganda",NA,"UGA"
2004,32.49662,0.24075,0,33.73333333,"A","Uganda",NA,"UGA"
2004,32.9385,0.2407833,0,188,"A","Uganda",NA,"UGA"
2004,30.11483,0.255,0,2.866666667,"A","Uganda",NA,"UGA"
2004,30.11267,0.2638333,0,108.6,"A","Uganda",NA,"UGA"
2004,33.02813,0.2661333,0,9.266666667,"A","Uganda",NA,"UGA"
2004,34.00133,0.2686667,0,7.066666667,"A","Uganda",NA,"UGA"
2004,33.92033,0.2698333,0,9.933333333,"A","Uganda",NA,"UGA"
2004,30.11367,0.2845,0,2.8,"A","Uganda",NA,"UGA"
2004,32.8449,0.2880167,0,15.86666667,"A","Uganda",NA,"UGA"
2004,32.8449,0.2880167,0,16.13333333,"A","Uganda",NA,"UGA"
2004,30.1815,0.3041667,0,16,"A","Uganda",NA,"UGA"
2004,33.10932,0.3065167,0,92,"A","Uganda",NA,"UGA"
2004,33.16328,0.3088667,0,6,"A","Uganda",NA,"UGA"
2004,30.0955,0.309,0,6,"A","Uganda",NA,"UGA"
2004,33.9535,0.3096667,0,30.46666667,"A","Uganda",NA,"UGA"
2004,30.15983,0.3173333,0,0.466666667,"A","Uganda",NA,"UGA"
2004,34.023,0.3201667,0,6.133333333,"A","Uganda",NA,"UGA"
2004,34.04233,0.321,0,3.666666667,"A","Uganda",NA,"UGA"
2004,30.09783,0.3221667,0,3,"A","Uganda",NA,"UGA"
2004,33.92917,0.3233333,0,16.86666667,"A","Uganda",NA,"UGA"
2004,33.04953,0.3332667,0,30.53333333,"A","Uganda",NA,"UGA"
2004,30.0785,0.3338333,0,22.73333333,"A","Uganda",NA,"UGA"
2004,34.019,0.338,0,5.8,"A","Uganda",NA,"UGA"
2004,33.9835,0.3393333,0,1.466666667,"A","Uganda",NA,"UGA"
2004,30.196,0.3485,0,0.733333333,"A","Uganda",NA,"UGA"
2004,33.01002,0.35075,0,109.6,"A","Uganda",NA,"UGA"
2004,33.99133,0.3531667,0,4.466666667,"A","Uganda",NA,"UGA"
2004,30.15117,0.3565,0,0.733333333,"A","Uganda",NA,"UGA"
2004,32.9788,0.3600167,0,71.46666667,"A","Uganda",NA,"UGA"
2004,33.17973,0.3611833,0,2.2,"A","Uganda",NA,"UGA"
2004,33.07603,0.3621167,0,45.26666667,"A","Uganda",NA,"UGA"
2004,34.072,0.37,0,5.533333333,"A","Uganda",NA,"UGA"
2004,30.1725,0.3728333,0,0.733333333,"A","Uganda",NA,"UGA"
2004,34.018,0.3758333,0,15.53333333,"A","Uganda",NA,"UGA"
2004,33.1359,0.379,0,46.66666667,"A","Uganda",NA,"UGA"
2004,30.17567,0.38,0,29,"A","Uganda",NA,"UGA"
2004,32.62223,0.3983333,0,11.86666667,"A","Uganda",NA,"UGA"
2004,32.50002,0.40015,0,12.66666667,"A","Uganda",NA,"UGA"
2004,34.059,0.4056667,0,2.2,"A","Uganda",NA,"UGA"
2004,34.0885,0.4075,0,40.33333333,"A","Uganda",NA,"UGA"
2004,32.78647,0.4102,0,15.8,"A","Uganda",NA,"UGA"
2004,34.00133,0.4178333,0,5.533333333,"A","Uganda",NA,"UGA"
2004,30.16467,0.4193333,0,0.8,"A","Uganda",NA,"UGA"
2004,34.03867,0.4203333,0,2,"A","Uganda",NA,"UGA"
2004,30.14167,0.4238333,0,0.333333333,"A","Uganda",NA,"UGA"
2004,34.04283,0.4243333,0,3.533333333,"A","Uganda",NA,"UGA"
2004,32.61578,0.42595,0,18.2,"A","Uganda",NA,"UGA"
2004,32.5045,0.43455,0,3.266666667,"A","Uganda",NA,"UGA"
2004,32.5045,0.43455,0,55.33333333,"A","Uganda",NA,"UGA"
2004,32.5045,0.43455,0,11.8,"A","Uganda",NA,"UGA"
2004,32.5045,0.43455,0,6.933333333,"A","Uganda",NA,"UGA"
2004,34.004,0.4401667,0,13.4,"A","Uganda",NA,"UGA"
2004,32.61087,0.4433333,0,43.8,"A","Uganda",NA,"UGA"
2004,32.6109,0.4433333,0,60.73333333,"A","Uganda",NA,"UGA"
2004,32.5045,0.4455,0,65.93333333,"A","Uganda",NA,"UGA"
2004,33.95306,0.4508333,0,22.06666667,"A","Uganda",NA,"UGA"
2004,34.08483,0.4526667,0,10.26666667,"A","Uganda",NA,"UGA"
2004,32.67918,0.4552167,0,8.666666667,"A","Uganda",NA,"UGA"
2004,32.6792,0.4552167,0,22,"A","Uganda",NA,"UGA"
2004,34.071,0.4556667,0,12.93333333,"A","Uganda",NA,"UGA"
2004,34.01717,0.4561667,0,2.4,"A","Uganda",NA,"UGA"
2004,32.85703,0.4565333,0,4.466666667,"A","Uganda",NA,"UGA"
2004,32.85702,0.45655,0,92.73333333,"A","Uganda",NA,"UGA"
2004,34.00472,0.4652778,0,1.533333333,"A","Uganda",NA,"UGA"
2004,34.02639,0.4783333,0,17.46666667,"A","Uganda",NA,"UGA"
2004,32.58147,0.4811667,0,26.93333333,"A","Uganda",NA,"UGA"
2004,32.59162,0.4814167,0,28.53333333,"A","Uganda",NA,"UGA"
2004,33.56783,0.5025,0,7.866666667,"A","Uganda",NA,"UGA"
2004,33.6005,0.5093333,0,11.73333333,"A","Uganda",NA,"UGA"
2004,32.83822,0.5101833,0,5.533333333,"A","Uganda",NA,"UGA"
2004,32.75665,0.5108167,0,11.2,"A","Uganda",NA,"UGA"
2004,32.58153,0.5157167,0,8.8,"A","Uganda",NA,"UGA"
2004,32.589,0.52925,0,407.2666667,"A","Uganda",NA,"UGA"
2004,32.589,0.52925,0,226.2666667,"A","Uganda",NA,"UGA"
2004,32.5554,0.5299333,0,10.53333333,"A","Uganda",NA,"UGA"
2004,34.03056,0.5352778,0,5.933333333,"A","Uganda",NA,"UGA"
2004,34.05722,0.5425,0,17.06666667,"A","Uganda",NA,"UGA"
2004,33.585,0.5535,0,2.8,"A","Uganda",NA,"UGA"
2004,33.98972,0.554444,0,9.066666667,"A","Uganda",NA,"UGA"
2004,33.4915,0.5566667,0,6.2,"A","Uganda",NA,"UGA"
2004,32.84202,0.5579333,0,12.33333333,"A","Uganda",NA,"UGA"
2004,34.11056,0.5594444,0,14,"A","Uganda",NA,"UGA"
2004,34.11083,0.5594444,0,20.93333333,"A","Uganda",NA,"UGA"
2004,34.07778,0.5605556,0,9.333333333,"A","Uganda",NA,"UGA"
2004,33.53983,0.5705,0,78.4,"A","Uganda",NA,"UGA"
2004,32.55513,0.5727833,0,22.2,"A","Uganda",NA,"UGA"
2004,32.6339,0.5741,0,2.333333333,"A","Uganda",NA,"UGA"
2004,32.80657,0.5792,0,14.46666667,"A","Uganda",NA,"UGA"
2004,33.59317,0.5868333,0,0.8,"A","Uganda",NA,"UGA"
2004,32.92933,0.5911667,0,17.86666667,"A","Uganda",NA,"UGA"
2004,32.53217,0.6034,0,17.2,"A","Uganda",NA,"UGA"
2004,32.61715,0.6111667,0,4.866666667,"A","Uganda",NA,"UGA"
2004,32.50017,0.6225,0,26.93333333,"A","Uganda",NA,"UGA"
2004,32.65047,0.6389167,0,6.333333333,"A","Uganda",NA,"UGA"
2004,33.60233,0.6401667,0,17.73333333,"A","Uganda",NA,"UGA"
2004,32.84538,0.6446333,0,20.2,"A","Uganda",NA,"UGA"
2004,32.70247,0.6503,0,1.733333333,"A","Uganda",NA,"UGA"
2004,31.9722,0.6504667,0,2.4,"A","Uganda",NA,"UGA"
2004,32.45527,0.6676167,0,18.4,"A","Uganda",NA,"UGA"
2004,33.55,0.6726667,0,9.733333333,"A","Uganda",NA,"UGA"
2004,32.52748,0.6751,0,11.13333333,"A","Uganda",NA,"UGA"
2004,32.06527,0.6751833,0,5.8,"A","Uganda",NA,"UGA"
2004,32.60938,0.6752667,0,7,"A","Uganda",NA,"UGA"
2004,32.8307,0.67545,0,79.53333333,"A","Uganda",NA,"UGA"
2004,31.94525,0.68175,0,6.333333333,"A","Uganda",NA,"UGA"
2004,33.63917,0.6833333,0,12.53333333,"A","Uganda",NA,"UGA"
2004,32.25185,0.68355,0,5,"A","Uganda",NA,"UGA"
2004,33.07445,0.6887167,0,68.53333333,"A","Uganda",NA,"UGA"
2004,32.00975,0.69085,0,37.06666667,"A","Uganda",NA,"UGA"
2004,32.42568,0.6931833,0,6.4,"A","Uganda",NA,"UGA"
2004,32.50317,0.69355,0,2.8,"A","Uganda",NA,"UGA"
2004,32.51015,0.69355,0,11.26666667,"A","Uganda",NA,"UGA"
2004,32.3011,0.7022,0,10.46666667,"A","Uganda",NA,"UGA"
2004,33.7845,0.706,0,8.266666667,"A","Uganda",NA,"UGA"
2004,32.36568,0.7093167,0,3.266666667,"A","Uganda",NA,"UGA"
2004,32.54873,0.7107667,0,17.06666667,"A","Uganda",NA,"UGA"
2004,32.69245,0.7126667,0,8.333333333,"A","Uganda",NA,"UGA"
2004,32.78368,0.7165,0,57.26666667,"A","Uganda",NA,"UGA"
2004,32.80213,0.71795,0,7.266666667,"A","Uganda",NA,"UGA"
2004,33.47417,0.7211667,0,3.6,"A","Uganda",NA,"UGA"
2004,33.58367,0.7221667,0,6.6,"A","Uganda",NA,"UGA"
2004,33.7715,0.724,0,2.857142857,"A","Uganda",NA,"UGA"
2004,32.61798,0.7281167,0,3.266666667,"A","Uganda",NA,"UGA"
2004,33.15382,0.7281167,0,178.1333333,"A","Uganda",NA,"UGA"
2004,31.3275,0.7335,0,14.2,"A","Uganda",NA,"UGA"
2004,33.70967,0.7336667,0,6,"A","Uganda",NA,"UGA"
2004,33.62117,0.7341667,0,39.4,"A","Uganda",NA,"UGA"
2004,33.58817,0.7343333,0,12.06666667,"A","Uganda",NA,"UGA"
2004,32.43532,0.7351333,0,5.266666667,"A","Uganda",NA,"UGA"
2004,33.21623,0.7367667,0,3.533333333,"A","Uganda",NA,"UGA"
2004,33.135,0.7386,0,108.4666667,"A","Uganda",NA,"UGA"
2004,33.70883,0.74,0,25.85714286,"A","Uganda",NA,"UGA"
2004,33.641,0.7415,0,8.2,"A","Uganda",NA,"UGA"
2004,32.06008,0.74595,0,0.533333333,"A","Uganda",NA,"UGA"
2004,33.55717,0.7576667,0,3.666666667,"A","Uganda",NA,"UGA"
2004,33.07787,0.76215,0,28.66666667,"A","Uganda",NA,"UGA"
2004,32.67703,0.7623333,0,7.666666667,"A","Uganda",NA,"UGA"
2004,31.10767,0.7628333,0,2.266666667,"A","Uganda",NA,"UGA"
2004,32.2298,0.7670667,0,2.333333333,"A","Uganda",NA,"UGA"
2004,31.96053,0.7691833,0,3.866666667,"A","Uganda",NA,"UGA"
2004,33.51833,0.7733333,0,28.73333333,"A","Uganda",NA,"UGA"
2004,33.21957,0.7753,0,13.8,"A","Uganda",NA,"UGA"
2004,31.1985,0.7766667,0,3.4,"A","Uganda",NA,"UGA"
2004,31.1435,0.779,0,0.8,"A","Uganda",NA,"UGA"
2004,31.06333,0.7816667,0,0.066666667,"A","Uganda",NA,"UGA"
2004,31.31317,0.7856667,0,0.733333333,"A","Uganda",NA,"UGA"
2004,33.68333,0.7863333,0,0.6,"A","Uganda",NA,"UGA"
2004,31.83368,0.7888667,0,0.4,"A","Uganda",NA,"UGA"
2004,33.61833,0.7891667,0,17.66666667,"A","Uganda",NA,"UGA"
2004,31.32667,0.7931667,0,1.066666667,"A","Uganda",NA,"UGA"
2004,33.17753,0.7958,0,77.6,"A","Uganda",NA,"UGA"
2004,31.08433,0.7971667,0,1.533333333,"A","Uganda",NA,"UGA"
2004,32.63523,0.7992167,0,4.6,"A","Uganda",NA,"UGA"
2004,33.44233,0.8015,0,12.93333333,"A","Uganda",NA,"UGA"
2004,33.05112,0.8118833,0,5,"A","Uganda",NA,"UGA"
2004,33.1402,0.8126,0,10.73333333,"A","Uganda",NA,"UGA"
2004,31.02083,0.8165,0,2.533333333,"A","Uganda",NA,"UGA"
2004,32.24247,0.8234,0,7.4,"A","Uganda",NA,"UGA"
2004,31.90372,0.8257667,0,4,"A","Uganda",NA,"UGA"
2004,31.85647,0.8282667,0,0.066666667,"A","Uganda",NA,"UGA"
2004,33.4765,0.8333333,0,2.866666667,"A","Uganda",NA,"UGA"
2004,31.7787,0.8393333,0,2.866666667,"A","Uganda",NA,"UGA"
2004,31.07667,0.8396667,0,13.26666667,"A","Uganda",NA,"UGA"
2004,32.44305,0.8498,0,5.266666667,"A","Uganda",NA,"UGA"
2004,32.308,0.8505333,0,16.46666667,"A","Uganda",NA,"UGA"
2004,33.40017,0.8528333,0,4.333333333,"A","Uganda",NA,"UGA"
2004,32.308,0.8556667,0,4.133333333,"A","Uganda",NA,"UGA"
2004,33.3975,0.858,0,8.666666667,"A","Uganda",NA,"UGA"
2004,33.6025,0.8581667,0,0.066666667,"A","Uganda",NA,"UGA"
2004,33.06437,0.8625833,0,26.73333333,"A","Uganda",NA,"UGA"
2004,31.86048,0.86305,0,0.6,"A","Uganda",NA,"UGA"
2004,31.33367,0.8635,0,2,"A","Uganda",NA,"UGA"
2004,33.7195,0.8756667,0,0.933333333,"A","Uganda",NA,"UGA"
2004,32.64892,0.8781333,0,6.4,"A","Uganda",NA,"UGA"
2004,32.48378,0.8821333,0,6.466666667,"A","Uganda",NA,"UGA"
2004,31.77552,0.8913167,0,1.333333333,"A","Uganda",NA,"UGA"
2004,30.93233,0.8941667,0,3.2,"A","Uganda",NA,"UGA"
2004,31.80743,0.8973333,0,0.333333333,"A","Uganda",NA,"UGA"
2004,33.19792,0.8983167,0,8.533333333,"A","Uganda",NA,"UGA"
2004,31.68755,0.9016333,0,0.4,"A","Uganda",NA,"UGA"
2004,31.78898,0.9019667,0,0.2,"A","Uganda",NA,"UGA"
2004,31.42367,0.9025,0,2.933333333,"A","Uganda",NA,"UGA"
2004,31.09117,0.906,0,11.73333333,"A","Uganda",NA,"UGA"
2004,31.71025,0.9079833,0,0.666666667,"A","Uganda",NA,"UGA"
2004,30.8765,0.9115,0,26.53333333,"A","Uganda",NA,"UGA"
2004,33.06233,0.9162667,0,11,"A","Uganda",NA,"UGA"
2004,30.7495,0.919,0,36.26666667,"A","Uganda",NA,"UGA"
2004,31.60653,0.9190167,0,0.733333333,"A","Uganda",NA,"UGA"
2004,33.25843,0.9202333,0,4.333333333,"A","Uganda",NA,"UGA"
2004,30.8975,0.9211667,0,0.733333333,"A","Uganda",NA,"UGA"
2004,33.0957,0.9275,0,10.66666667,"A","Uganda",NA,"UGA"
2004,30.80267,0.9288333,0,109.5333333,"A","Uganda",NA,"UGA"
2004,33.18622,0.9297333,0,5.133333333,"A","Uganda",NA,"UGA"
2004,30.7085,0.932,0,2.4,"A","Uganda",NA,"UGA"
2004,31.4996,0.93665,0,1.133333333,"A","Uganda",NA,"UGA"
2004,33.62567,0.939333,0,7.466666667,"A","Uganda",NA,"UGA"
2004,32.4701,0.9408,0,7.866666667,"A","Uganda",NA,"UGA"
2004,31.79602,0.9408333,0,2.466666667,"A","Uganda",NA,"UGA"
2004,33.05708,0.94135,0,57.53333333,"A","Uganda",NA,"UGA"
2004,33.13315,0.9420167,0,43.73333333,"A","Uganda",NA,"UGA"
2004,31.45552,0.9427,0,2.666666667,"A","Uganda",NA,"UGA"
2004,31.55903,0.9464667,0,2.333333333,"A","Uganda",NA,"UGA"
2004,31.74612,0.9511333,0,3.333333333,"A","Uganda",NA,"UGA"
2004,30.67033,0.9548333,0,0.533333333,"A","Uganda",NA,"UGA"
