"surveyDataYear","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2004,0,21,21,0,"mask_uga_grid_0","2004_mask_uga_grid_0"
2006,0,19,19,0,"mask_uga_grid_0","2006_mask_uga_grid_0"
2008,0,12,12,0,"mask_uga_grid_0","2008_mask_uga_grid_0"
2010,0,16,16,0,"mask_uga_grid_0","2010_mask_uga_grid_0"
2004,0,39,39,0,"mask_uga_grid_1","2004_mask_uga_grid_1"
2006,0,39,39,0,"mask_uga_grid_1","2006_mask_uga_grid_1"
2008,0,28,28,0,"mask_uga_grid_1","2008_mask_uga_grid_1"
2010,3,22,25,0.12,"mask_uga_grid_1","2010_mask_uga_grid_1"
2004,0,3,3,0,"mask_uga_grid_10","2004_mask_uga_grid_10"
2010,2,0,2,1,"mask_uga_grid_10","2010_mask_uga_grid_10"
2004,1,66,67,0.0149253731343284,"mask_uga_grid_11","2004_mask_uga_grid_11"
2005,9,20,29,0.310344827586207,"mask_uga_grid_11","2005_mask_uga_grid_11"
2006,25,53,78,0.320512820512821,"mask_uga_grid_11","2006_mask_uga_grid_11"
2007,39,16,55,0.709090909090909,"mask_uga_grid_11","2007_mask_uga_grid_11"
2008,34,14,48,0.708333333333333,"mask_uga_grid_11","2008_mask_uga_grid_11"
2009,39,22,61,0.639344262295082,"mask_uga_grid_11","2009_mask_uga_grid_11"
2010,73,23,96,0.760416666666667,"mask_uga_grid_11","2010_mask_uga_grid_11"
2004,0,38,38,0,"mask_uga_grid_12","2004_mask_uga_grid_12"
2005,0,38,38,0,"mask_uga_grid_12","2005_mask_uga_grid_12"
2006,2,19,21,0.0952380952380952,"mask_uga_grid_12","2006_mask_uga_grid_12"
2007,10,9,19,0.526315789473684,"mask_uga_grid_12","2007_mask_uga_grid_12"
2008,5,39,44,0.113636363636364,"mask_uga_grid_12","2008_mask_uga_grid_12"
2009,20,17,37,0.540540540540541,"mask_uga_grid_12","2009_mask_uga_grid_12"
2010,29,26,55,0.527272727272727,"mask_uga_grid_12","2010_mask_uga_grid_12"
2004,0,27,27,0,"mask_uga_grid_13","2004_mask_uga_grid_13"
2005,0,41,41,0,"mask_uga_grid_13","2005_mask_uga_grid_13"
2007,17,4,21,0.80952380952381,"mask_uga_grid_13","2007_mask_uga_grid_13"
2008,13,29,42,0.30952380952381,"mask_uga_grid_13","2008_mask_uga_grid_13"
2009,7,2,9,0.777777777777778,"mask_uga_grid_13","2009_mask_uga_grid_13"
2010,17,19,36,0.472222222222222,"mask_uga_grid_13","2010_mask_uga_grid_13"
2008,0,14,14,0,"mask_uga_grid_14","2008_mask_uga_grid_14"
2010,7,23,30,0.233333333333333,"mask_uga_grid_14","2010_mask_uga_grid_14"
2004,0,45,45,0,"mask_uga_grid_16","2004_mask_uga_grid_16"
2005,2,11,13,0.153846153846154,"mask_uga_grid_16","2005_mask_uga_grid_16"
2006,15,7,22,0.681818181818182,"mask_uga_grid_16","2006_mask_uga_grid_16"
2007,13,6,19,0.68421052631579,"mask_uga_grid_16","2007_mask_uga_grid_16"
2008,17,8,25,0.68,"mask_uga_grid_16","2008_mask_uga_grid_16"
2009,54,6,60,0.9,"mask_uga_grid_16","2009_mask_uga_grid_16"
2010,54,19,73,0.73972602739726,"mask_uga_grid_16","2010_mask_uga_grid_16"
2004,0,108,108,0,"mask_uga_grid_17","2004_mask_uga_grid_17"
2005,1,174,175,0.00571428571428571,"mask_uga_grid_17","2005_mask_uga_grid_17"
2006,14,9,23,0.608695652173913,"mask_uga_grid_17","2006_mask_uga_grid_17"
2007,22,64,86,0.255813953488372,"mask_uga_grid_17","2007_mask_uga_grid_17"
2008,33,22,55,0.6,"mask_uga_grid_17","2008_mask_uga_grid_17"
2009,52,29,81,0.641975308641975,"mask_uga_grid_17","2009_mask_uga_grid_17"
2010,72,23,95,0.757894736842105,"mask_uga_grid_17","2010_mask_uga_grid_17"
2004,0,20,20,0,"mask_uga_grid_18","2004_mask_uga_grid_18"
2005,0,31,31,0,"mask_uga_grid_18","2005_mask_uga_grid_18"
2007,2,0,2,1,"mask_uga_grid_18","2007_mask_uga_grid_18"
2008,5,26,31,0.161290322580645,"mask_uga_grid_18","2008_mask_uga_grid_18"
2009,5,38,43,0.116279069767442,"mask_uga_grid_18","2009_mask_uga_grid_18"
2010,11,29,40,0.275,"mask_uga_grid_18","2010_mask_uga_grid_18"
2008,0,16,16,0,"mask_uga_grid_19","2008_mask_uga_grid_19"
2009,0,2,2,0,"mask_uga_grid_19","2009_mask_uga_grid_19"
2010,0,11,11,0,"mask_uga_grid_19","2010_mask_uga_grid_19"
2004,0,29,29,0,"mask_uga_grid_21","2004_mask_uga_grid_21"
2007,9,5,14,0.642857142857143,"mask_uga_grid_21","2007_mask_uga_grid_21"
2008,9,5,14,0.642857142857143,"mask_uga_grid_21","2008_mask_uga_grid_21"
2009,23,2,25,0.92,"mask_uga_grid_21","2009_mask_uga_grid_21"
2010,34,4,38,0.894736842105263,"mask_uga_grid_21","2010_mask_uga_grid_21"
2004,0,21,21,0,"mask_uga_grid_22","2004_mask_uga_grid_22"
2005,0,17,17,0,"mask_uga_grid_22","2005_mask_uga_grid_22"
2007,22,14,36,0.611111111111111,"mask_uga_grid_22","2007_mask_uga_grid_22"
2008,12,2,14,0.857142857142857,"mask_uga_grid_22","2008_mask_uga_grid_22"
2009,29,30,59,0.491525423728814,"mask_uga_grid_22","2009_mask_uga_grid_22"
2010,9,0,9,1,"mask_uga_grid_22","2010_mask_uga_grid_22"
2009,0,4,4,0,"mask_uga_grid_23","2009_mask_uga_grid_23"
2004,0,35,35,0,"mask_uga_grid_5","2004_mask_uga_grid_5"
2006,0,40,40,0,"mask_uga_grid_5","2006_mask_uga_grid_5"
2008,0,11,11,0,"mask_uga_grid_5","2008_mask_uga_grid_5"
2010,1,2,3,0.333333333333333,"mask_uga_grid_5","2010_mask_uga_grid_5"
2004,0,19,19,0,"mask_uga_grid_6","2004_mask_uga_grid_6"
2005,0,5,5,0,"mask_uga_grid_6","2005_mask_uga_grid_6"
2006,0,17,17,0,"mask_uga_grid_6","2006_mask_uga_grid_6"
2008,0,11,11,0,"mask_uga_grid_6","2008_mask_uga_grid_6"
2010,10,17,27,0.37037037037037,"mask_uga_grid_6","2010_mask_uga_grid_6"
2004,0,40,40,0,"mask_uga_grid_7","2004_mask_uga_grid_7"
2005,0,38,38,0,"mask_uga_grid_7","2005_mask_uga_grid_7"
2006,0,39,39,0,"mask_uga_grid_7","2006_mask_uga_grid_7"
2008,9,12,21,0.428571428571429,"mask_uga_grid_7","2008_mask_uga_grid_7"
2009,0,7,7,0,"mask_uga_grid_7","2009_mask_uga_grid_7"
2010,15,43,58,0.258620689655172,"mask_uga_grid_7","2010_mask_uga_grid_7"
2004,0,44,44,0,"mask_uga_grid_8","2004_mask_uga_grid_8"
2008,8,19,27,0.296296296296296,"mask_uga_grid_8","2008_mask_uga_grid_8"
2010,26,22,48,0.541666666666667,"mask_uga_grid_8","2010_mask_uga_grid_8"
2004,0,20,20,0,"mask_uga_grid_9","2004_mask_uga_grid_9"
2008,0,53,53,0,"mask_uga_grid_9","2008_mask_uga_grid_9"
2010,4,59,63,0.0634920634920635,"mask_uga_grid_9","2010_mask_uga_grid_9"
2004,0,483,483,0,"mask_uga_hole","2004_mask_uga_hole"
2005,1,339,340,0.00294117647058824,"mask_uga_hole","2005_mask_uga_hole"
2006,7,181,188,0.0372340425531915,"mask_uga_hole","2006_mask_uga_hole"
2007,70,89,159,0.440251572327044,"mask_uga_hole","2007_mask_uga_hole"
2008,103,298,401,0.256857855361596,"mask_uga_hole","2008_mask_uga_hole"
2009,165,134,299,0.551839464882943,"mask_uga_hole","2009_mask_uga_hole"
2010,273,332,605,0.451239669421488,"mask_uga_hole","2010_mask_uga_hole"
2004,1,91,92,0.0108695652173913,"mask_uga_kam","2004_mask_uga_kam"
2005,11,36,47,0.234042553191489,"mask_uga_kam","2005_mask_uga_kam"
2006,49,61,110,0.445454545454545,"mask_uga_kam","2006_mask_uga_kam"
2007,64,29,93,0.688172043010753,"mask_uga_kam","2007_mask_uga_kam"
2008,41,23,64,0.640625,"mask_uga_kam","2008_mask_uga_kam"
2009,64,25,89,0.719101123595506,"mask_uga_kam","2009_mask_uga_kam"
2010,94,25,119,0.789915966386555,"mask_uga_kam","2010_mask_uga_kam"
