"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,2,399,401,0.00498753117206983
2009,21,278,299,0.0702341137123746
2010,44,561,605,0.0727272727272727
