"surveyDataYear","numPass","numPassGrid","maskKey","masks","gridKey"
2004,232016,232016,"mask_1","2004_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2005,229326,229326,"mask_1","2005_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2006,224136,224136,"mask_1","2006_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2007,204574,204574,"mask_1","2007_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2008,136427,136427,"mask_1","2008_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2009,135016,135016,"mask_1","2009_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
2010,134952,134952,"mask_1","2010_mask_uga_kam_0.45","grid-tol_applied_only_where_both_bool-1.00"
