"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,9,179,188,0.0478723404255319
2007,65,94,159,0.408805031446541
2008,117,284,401,0.291770573566085
2009,164,135,299,0.548494983277592
2010,294,311,605,0.48595041322314
