"year","nPos","nNeg","nTotal","propPos"
2004,0,20,20,0
2008,2,55,57,0.0350877192982456
2010,4,61,65,0.0615384615384615
2011,21,41,62,0.338709677419355
2012,15,44,59,0.254237288135593
2013,25,33,58,0.431034482758621
2014,41,19,60,0.683333333333333
