"year","nPos","nNeg","nTotal","propPos"
2008,0,16,16,0
2009,0,2,2,0
2010,1,9,10,0.1
2011,0,18,18,0
2013,4,26,30,0.133333333333333
2014,6,24,30,0.2
2015,0,2,2,0
2017,0,1,1,0
