"year","nPos","nNeg","nTotal","propPos"
2004,0,30,30,0
2007,0,15,15,0
2008,10,7,17,0.588235294117647
2009,14,11,25,0.56
2010,30,8,38,0.789473684210526
2011,26,12,38,0.68421052631579
2013,20,35,55,0.363636363636364
2014,34,5,39,0.871794871794872
2015,1,0,1,1
2017,1,0,1,1
