"year","nPos","nNeg","nTotal","propPos"
2004,0,39,39,0
2006,1,39,40,0.025
2008,12,16,28,0.428571428571429
2010,12,14,26,0.461538461538462
2011,13,24,37,0.351351351351351
2013,16,59,75,0.213333333333333
2014,15,57,72,0.208333333333333
