"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,9,38,47,0.191489361702128
2006,44,66,110,0.4
2007,62,31,93,0.666666666666667
2008,46,18,64,0.71875
2009,58,31,89,0.651685393258427
2010,93,26,119,0.781512605042017
