"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,11,36,47,0.234042553191489
2006,38,72,110,0.345454545454545
2007,57,36,93,0.612903225806452
2008,40,24,64,0.625
2009,61,28,89,0.685393258426966
2010,83,36,119,0.697478991596639
