"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,4,184,188,0.0212765957446809
2007,28,131,159,0.176100628930818
2008,37,364,401,0.0922693266832918
2009,118,181,299,0.394648829431438
2010,131,474,605,0.216528925619835
