"Package","Version"
"tzdb","0.3.0"
"units","0.8-0"
"utf8","1.2.2"
"utils","4.1.3"
"uuid","1.1-0"
"V8","4.1.0"
"vctrs","0.4.1"
"viridis","0.6.2"
"viridisLite","0.4.0"
"vroom","1.5.7"
"waldo","0.4.0"
"webshot","0.5.3"
"widgetframe","0.3.1"
"withr","2.5.0"
"wk","0.6.0"
"xfun","0.30"
"XML","3.99-0.9"
"xml2","1.3.3"
"xmlparsedata","1.0.5"
"xtable","1.8-4"
"xts","0.12.1"
"yaml","2.3.5"
"zoo","1.8-10"
