"surveyDataYear","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2004,0,21,21,0,"mask_uga_grid_0","2004_mask_uga_grid_0"
2006,0,19,19,0,"mask_uga_grid_0","2006_mask_uga_grid_0"
2008,0,12,12,0,"mask_uga_grid_0","2008_mask_uga_grid_0"
2010,0,16,16,0,"mask_uga_grid_0","2010_mask_uga_grid_0"
2004,0,39,39,0,"mask_uga_grid_1","2004_mask_uga_grid_1"
2006,0,39,39,0,"mask_uga_grid_1","2006_mask_uga_grid_1"
2008,0,28,28,0,"mask_uga_grid_1","2008_mask_uga_grid_1"
2010,11,14,25,0.44,"mask_uga_grid_1","2010_mask_uga_grid_1"
2004,0,3,3,0,"mask_uga_grid_10","2004_mask_uga_grid_10"
2010,0,2,2,0,"mask_uga_grid_10","2010_mask_uga_grid_10"
2004,0,67,67,0,"mask_uga_grid_11","2004_mask_uga_grid_11"
2005,8,21,29,0.275862068965517,"mask_uga_grid_11","2005_mask_uga_grid_11"
2006,27,51,78,0.346153846153846,"mask_uga_grid_11","2006_mask_uga_grid_11"
2007,39,16,55,0.709090909090909,"mask_uga_grid_11","2007_mask_uga_grid_11"
2008,29,19,48,0.604166666666667,"mask_uga_grid_11","2008_mask_uga_grid_11"
2009,41,20,61,0.672131147540984,"mask_uga_grid_11","2009_mask_uga_grid_11"
2010,70,26,96,0.729166666666667,"mask_uga_grid_11","2010_mask_uga_grid_11"
2004,0,38,38,0,"mask_uga_grid_12","2004_mask_uga_grid_12"
2005,0,38,38,0,"mask_uga_grid_12","2005_mask_uga_grid_12"
2006,1,20,21,0.0476190476190476,"mask_uga_grid_12","2006_mask_uga_grid_12"
2007,8,11,19,0.421052631578947,"mask_uga_grid_12","2007_mask_uga_grid_12"
2008,9,35,44,0.204545454545455,"mask_uga_grid_12","2008_mask_uga_grid_12"
2009,18,19,37,0.486486486486487,"mask_uga_grid_12","2009_mask_uga_grid_12"
2010,24,31,55,0.436363636363636,"mask_uga_grid_12","2010_mask_uga_grid_12"
2004,0,27,27,0,"mask_uga_grid_13","2004_mask_uga_grid_13"
2005,0,41,41,0,"mask_uga_grid_13","2005_mask_uga_grid_13"
2007,13,8,21,0.619047619047619,"mask_uga_grid_13","2007_mask_uga_grid_13"
2008,10,32,42,0.238095238095238,"mask_uga_grid_13","2008_mask_uga_grid_13"
2009,7,2,9,0.777777777777778,"mask_uga_grid_13","2009_mask_uga_grid_13"
2010,17,19,36,0.472222222222222,"mask_uga_grid_13","2010_mask_uga_grid_13"
2008,0,14,14,0,"mask_uga_grid_14","2008_mask_uga_grid_14"
2010,7,23,30,0.233333333333333,"mask_uga_grid_14","2010_mask_uga_grid_14"
2004,0,45,45,0,"mask_uga_grid_16","2004_mask_uga_grid_16"
2005,1,12,13,0.0769230769230769,"mask_uga_grid_16","2005_mask_uga_grid_16"
2006,10,12,22,0.454545454545455,"mask_uga_grid_16","2006_mask_uga_grid_16"
2007,13,6,19,0.68421052631579,"mask_uga_grid_16","2007_mask_uga_grid_16"
2008,20,5,25,0.8,"mask_uga_grid_16","2008_mask_uga_grid_16"
2009,47,13,60,0.783333333333333,"mask_uga_grid_16","2009_mask_uga_grid_16"
2010,59,14,73,0.808219178082192,"mask_uga_grid_16","2010_mask_uga_grid_16"
2004,0,108,108,0,"mask_uga_grid_17","2004_mask_uga_grid_17"
2005,0,175,175,0,"mask_uga_grid_17","2005_mask_uga_grid_17"
2006,13,10,23,0.565217391304348,"mask_uga_grid_17","2006_mask_uga_grid_17"
2007,19,67,86,0.22093023255814,"mask_uga_grid_17","2007_mask_uga_grid_17"
2008,36,19,55,0.654545454545455,"mask_uga_grid_17","2008_mask_uga_grid_17"
2009,47,34,81,0.580246913580247,"mask_uga_grid_17","2009_mask_uga_grid_17"
2010,65,30,95,0.68421052631579,"mask_uga_grid_17","2010_mask_uga_grid_17"
2004,0,20,20,0,"mask_uga_grid_18","2004_mask_uga_grid_18"
2005,0,31,31,0,"mask_uga_grid_18","2005_mask_uga_grid_18"
2007,2,0,2,1,"mask_uga_grid_18","2007_mask_uga_grid_18"
2008,4,27,31,0.129032258064516,"mask_uga_grid_18","2008_mask_uga_grid_18"
2009,3,40,43,0.0697674418604651,"mask_uga_grid_18","2009_mask_uga_grid_18"
2010,9,31,40,0.225,"mask_uga_grid_18","2010_mask_uga_grid_18"
2008,0,16,16,0,"mask_uga_grid_19","2008_mask_uga_grid_19"
2009,0,2,2,0,"mask_uga_grid_19","2009_mask_uga_grid_19"
2010,0,11,11,0,"mask_uga_grid_19","2010_mask_uga_grid_19"
2004,0,29,29,0,"mask_uga_grid_21","2004_mask_uga_grid_21"
2007,9,5,14,0.642857142857143,"mask_uga_grid_21","2007_mask_uga_grid_21"
2008,11,3,14,0.785714285714286,"mask_uga_grid_21","2008_mask_uga_grid_21"
2009,17,8,25,0.68,"mask_uga_grid_21","2009_mask_uga_grid_21"
2010,34,4,38,0.894736842105263,"mask_uga_grid_21","2010_mask_uga_grid_21"
2004,0,21,21,0,"mask_uga_grid_22","2004_mask_uga_grid_22"
2005,0,17,17,0,"mask_uga_grid_22","2005_mask_uga_grid_22"
2007,19,17,36,0.527777777777778,"mask_uga_grid_22","2007_mask_uga_grid_22"
2008,13,1,14,0.928571428571429,"mask_uga_grid_22","2008_mask_uga_grid_22"
2009,29,30,59,0.491525423728814,"mask_uga_grid_22","2009_mask_uga_grid_22"
2010,7,2,9,0.777777777777778,"mask_uga_grid_22","2010_mask_uga_grid_22"
2009,0,4,4,0,"mask_uga_grid_23","2009_mask_uga_grid_23"
2004,0,35,35,0,"mask_uga_grid_5","2004_mask_uga_grid_5"
2006,0,40,40,0,"mask_uga_grid_5","2006_mask_uga_grid_5"
2008,0,11,11,0,"mask_uga_grid_5","2008_mask_uga_grid_5"
2010,0,3,3,0,"mask_uga_grid_5","2010_mask_uga_grid_5"
2004,0,19,19,0,"mask_uga_grid_6","2004_mask_uga_grid_6"
2005,0,5,5,0,"mask_uga_grid_6","2005_mask_uga_grid_6"
2006,0,17,17,0,"mask_uga_grid_6","2006_mask_uga_grid_6"
2008,0,11,11,0,"mask_uga_grid_6","2008_mask_uga_grid_6"
2010,7,20,27,0.259259259259259,"mask_uga_grid_6","2010_mask_uga_grid_6"
2004,0,40,40,0,"mask_uga_grid_7","2004_mask_uga_grid_7"
2005,0,38,38,0,"mask_uga_grid_7","2005_mask_uga_grid_7"
2006,0,39,39,0,"mask_uga_grid_7","2006_mask_uga_grid_7"
2008,0,21,21,0,"mask_uga_grid_7","2008_mask_uga_grid_7"
2009,0,7,7,0,"mask_uga_grid_7","2009_mask_uga_grid_7"
2010,20,38,58,0.344827586206897,"mask_uga_grid_7","2010_mask_uga_grid_7"
2004,0,44,44,0,"mask_uga_grid_8","2004_mask_uga_grid_8"
2008,8,19,27,0.296296296296296,"mask_uga_grid_8","2008_mask_uga_grid_8"
2010,26,22,48,0.541666666666667,"mask_uga_grid_8","2010_mask_uga_grid_8"
2004,0,20,20,0,"mask_uga_grid_9","2004_mask_uga_grid_9"
2008,0,53,53,0,"mask_uga_grid_9","2008_mask_uga_grid_9"
2010,5,58,63,0.0793650793650794,"mask_uga_grid_9","2010_mask_uga_grid_9"
2004,0,483,483,0,"mask_uga_hole","2004_mask_uga_hole"
2005,0,340,340,0,"mask_uga_hole","2005_mask_uga_hole"
2006,7,181,188,0.0372340425531915,"mask_uga_hole","2006_mask_uga_hole"
2007,60,99,159,0.377358490566038,"mask_uga_hole","2007_mask_uga_hole"
2008,93,308,401,0.231920199501247,"mask_uga_hole","2008_mask_uga_hole"
2009,151,148,299,0.505016722408027,"mask_uga_hole","2009_mask_uga_hole"
2010,267,338,605,0.441322314049587,"mask_uga_hole","2010_mask_uga_hole"
2004,0,92,92,0,"mask_uga_kam","2004_mask_uga_kam"
2005,9,38,47,0.191489361702128,"mask_uga_kam","2005_mask_uga_kam"
2006,44,66,110,0.4,"mask_uga_kam","2006_mask_uga_kam"
2007,62,31,93,0.666666666666667,"mask_uga_kam","2007_mask_uga_kam"
2008,46,18,64,0.71875,"mask_uga_kam","2008_mask_uga_kam"
2009,58,31,89,0.651685393258427,"mask_uga_kam","2009_mask_uga_kam"
2010,93,26,119,0.781512605042017,"mask_uga_kam","2010_mask_uga_kam"
