otherVarKey,noDiseaseBool
NASE 3 SEV 1,
NYARABOKE SEV1;AKENA SEV 3,
NASE 3 SEV 1;EGABU SEV 1;2961,
NASE 3 SEV1;AKENA SEV3,
NASE 3 SEV 1;TME 14 SEV 2;OMSI,
TME 204 SEV 1;NASE 3 SEV 1;NJU,
AKENA SEV 1,
2961 SEV 2;NASE 3 SEV 1;AKENA,
2961 SEV 2,
TME 14 SEV 3,
TME 14 SEV 1;UNTIN SEV 1,
IGABU SEV 2;BAO SEV 1;NASE 12,
TME 14 SEV 2;TME 204 SEV 2,
TME 14 SEV1;AKENA SEV 1;EGABU,
TME 14 SEV 1;BAO SEV 1,
TME14 SEV1;NASE 12 SEV1;TME204,
AKENA SEV 1;NYARABOKE SEV 1,
NYARABOKE SEV 1;NASE 12 SEV 2;,
NASE 12 SEV 2;APOSONYOGWOK SEV,
UNKNOWN SEV 1,
AKENA SEV 1;OLANYUDIEL SEV 1;B,
TME 14 SEV1;2961 SEV 1;NASE 12,
TME 14 SEV 1;TME 204 SEV 1;BAO,
BAO SEV 4;TME 204 SEV 1;2961 S,
AKENA SEV 1;EGABU SEV 1,
ALADU SEV 1;AKENA SEV 1;TME 20,
TME 14 SEV 2;NASE 12 SEV 1;BAO,
AKENA SEV 1;TME 204 SEV 1,
2961 SEV 1;ALADO SEV 1,
UNKNOWN SEV1;ALADU SEV 1;2961,
TME 14 SEV 1;TME 204 SEV 1,
BAO SEV 1;OMONGOLE SEV 1;NASE,
BAO SEV 1;TME 14 SEV 2,
BAO SEV 1;2961 SEV 1,
BAO SEV 1;TME 14 SEV1,
UMOT SEV 1,
TME 204 SEV 1;2961 SEV 1;NASE,
TME 14 SEV 1 2961 SEV 1;TME 20,
CENYE SEV 1,
NYARABOKE SEV 1;TME 14 SEV 1;T,
NYARABOKE SEV 1;AKENA SEV 1,
OMOMGOLE SEV 1,
2961 SEV 1,
TME 14 SEV 1;2961 SEV 1,
4271 SEV 1,
OMONGOLE SEV 1;2961 SEV 1,
AMOT SEV 1,
2 (TME 14),
1,
MAGADO,
NJULE;TME 204,
TME 204;NJULE,
LOCAL,
NJULE;LOCAL;TME 204,
LOCAL 2,
MH97/2961,
CBSD (1) TME 204 OMONGOLE,
CBSD (2) TME 14,
OMOO SEV 1; NASE 13 SEV 1 CENJ,
ABIRIA SEV 1 TME 14 SEV 1,
ABIRIA SEV 1,
TME 204 SEV 2 NASE 3 SEV 1 TER,
TME 14 SEV 1 ARIWARA SEV 1 005,
TONGOLO SEV 1; OMOO SEV 1 ANIW,
MAULKWA SEV 1; ARIWARA SEV 1 T,
ARIWARA SEV 1 NYAPAMITU SEV 1,
CENJE SEV 1,
MUGORO SEV 1 NASE 3 SEV 1 PALA,
TME 14 SEV 1 ARIWARA SEV 1 SAU,
MUGORO SEV 1 BUKALASA SEV 1,
0057 SEV 1 NASE 13 SEV 1 ARIWA,
SANZE SEV 1,
TME 204 SEV 1 UNK SEV 1,
NASE 13 SEV 1 TME 204 SEV 1,
OMOO SEV 1; 0057 SEV 1 TME 204,
ARIWARA SEV 1,
0057 SEV 1; ARIWARA SEV 1; MAL,
0057 SEV 1 TME 204 SEV 1 MINGO,
NASE 3 SEV 1 TME 14 SEV 1,
NASE 13 SEV 1 NASE 3 SEV 1 UK,
TME 204 SEV 2 MINGORO SEV 2 NA,
ALIFASIO SEV 1 TME 14 SEV 1 MI,
NASE 3 SEV 1 ALIFASIO SEV 1 TM,
AKENA SEV 1 TME 204 SEV 1 NYAR,
NASE 12 SEV 1 NASE 12 SEV 1 TM,
MALUKWA SEV 1,
ALOIRIA SEV 4,
MINGORO SEV 1,
TME 14 SEV 3 ALIFASIA SEV 1,
TME 204 SEV 3; MINGORO SEV 3;,
JOYO SEV 4,
CLARA SEV 1,
TEREKA SEV 1 TME 14 SEV 1,
TME 204 CLARA SEV 1,
NGWEYA SEV 1 TME 14 SEV 2,
TME 14 SEV 1 AKENA SEV 1,
ALUPARI SEV 1 TME 204 SEV 2 NA,
OMOO SEV 1 NYAMATIA SEV 1 TME,
NYARURELI SEV 1,
NYANUKERE SEV 1 NYARUDOTA SEV,
NYAPALEI SEV 1 NYAPAPOGA SEV 1,
BAO SEV 1 NYAPAMITU SEV 1 NASE,
NASE 13 SEV 1 NASE 3 SEV 1,
NASE 12 SEV 2 OMANGOLE SEV 2 N,
CARITUS SEV 1 NASE 3 SEV 1,
NYAKUNYAKU SEV 1 NYAKAKWA SEV,
TME 14 SEV 2 NYAKUYAKU SEV 1 T,
NASE 3 SEV 1 NASE 12 SEV 1,
OCAL SEV 2 NYAKUNYAKU SEV 2,
AKENA SEV 1 NASE 3 SEV 1,
ANGARUBA SEV 1 TME 204 SEV 1,
TME 204 SEV 3 EBWARA TEREKA SE,
TME 204 SEV 1 NAJENGA SEV 1,
SEEN ON TME 14 & NASE 13,
SEEN ON 2961 AT ABOUT 100%,
SEEN ON TME 204 AT HIGH INCD A,
