"year","nPos","nNeg","nTotal","propPos"
2004,0,483,483,0
2005,0,340,340,0
2006,0,188,188,0
2007,0,159,159,0
2008,10,391,401,0.0249376558603491
2009,46,253,299,0.153846153846154
2010,63,542,605,0.104132231404959
