"year","nPos","nNeg","nTotal","propPos"
2004,0,92,92,0
2005,3,44,47,0.0638297872340425
2006,1,109,110,0.00909090909090909
2007,3,90,93,0.032258064516129
2008,2,62,64,0.03125
2009,10,79,89,0.112359550561798
2010,28,91,119,0.235294117647059
