"year","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2005,0,223,223,0,"mask_uga_grid_17","2005_mask_uga_grid_17"
2006,5,18,23,0.217391304347826,"mask_uga_grid_17","2006_mask_uga_grid_17"
2007,3,84,87,0.0344827586206897,"mask_uga_grid_17","2007_mask_uga_grid_17"
2008,20,35,55,0.363636363636364,"mask_uga_grid_17","2008_mask_uga_grid_17"
2009,40,40,80,0.5,"mask_uga_grid_17","2009_mask_uga_grid_17"
2010,82,16,98,0.836734693877551,"mask_uga_grid_17","2010_mask_uga_grid_17"
2011,62,47,109,0.568807339449541,"mask_uga_grid_17","2011_mask_uga_grid_17"
2012,40,39,79,0.506329113924051,"mask_uga_grid_17","2012_mask_uga_grid_17"
2013,79,88,167,0.473053892215569,"mask_uga_grid_17","2013_mask_uga_grid_17"
2014,62,74,136,0.455882352941176,"mask_uga_grid_17","2014_mask_uga_grid_17"
2015,21,55,76,0.276315789473684,"mask_uga_grid_17","2015_mask_uga_grid_17"
2017,74,24,98,0.755102040816326,"mask_uga_grid_17","2017_mask_uga_grid_17"
2004,0,20,20,0,"mask_uga_grid_18","2004_mask_uga_grid_18"
2005,0,40,40,0,"mask_uga_grid_18","2005_mask_uga_grid_18"
2007,0,2,2,0,"mask_uga_grid_18","2007_mask_uga_grid_18"
2008,1,30,31,0.032258064516129,"mask_uga_grid_18","2008_mask_uga_grid_18"
2009,3,40,43,0.0697674418604651,"mask_uga_grid_18","2009_mask_uga_grid_18"
2010,6,35,41,0.146341463414634,"mask_uga_grid_18","2010_mask_uga_grid_18"
2011,5,44,49,0.102040816326531,"mask_uga_grid_18","2011_mask_uga_grid_18"
2012,16,36,52,0.307692307692308,"mask_uga_grid_18","2012_mask_uga_grid_18"
2013,31,56,87,0.35632183908046,"mask_uga_grid_18","2013_mask_uga_grid_18"
2014,41,50,91,0.450549450549451,"mask_uga_grid_18","2014_mask_uga_grid_18"
2015,18,18,36,0.5,"mask_uga_grid_18","2015_mask_uga_grid_18"
2017,18,20,38,0.473684210526316,"mask_uga_grid_18","2017_mask_uga_grid_18"
2008,0,16,16,0,"mask_uga_grid_19","2008_mask_uga_grid_19"
2009,0,2,2,0,"mask_uga_grid_19","2009_mask_uga_grid_19"
2010,1,9,10,0.1,"mask_uga_grid_19","2010_mask_uga_grid_19"
2011,0,18,18,0,"mask_uga_grid_19","2011_mask_uga_grid_19"
2013,4,26,30,0.133333333333333,"mask_uga_grid_19","2013_mask_uga_grid_19"
2014,6,24,30,0.2,"mask_uga_grid_19","2014_mask_uga_grid_19"
2015,0,2,2,0,"mask_uga_grid_19","2015_mask_uga_grid_19"
2017,0,1,1,0,"mask_uga_grid_19","2017_mask_uga_grid_19"
2011,0,1,1,0,"mask_uga_grid_2","2011_mask_uga_grid_2"
2012,0,1,1,0,"mask_uga_grid_2","2012_mask_uga_grid_2"
2014,0,1,1,0,"mask_uga_grid_2","2014_mask_uga_grid_2"
2004,0,30,30,0,"mask_uga_grid_21","2004_mask_uga_grid_21"
2007,0,15,15,0,"mask_uga_grid_21","2007_mask_uga_grid_21"
2008,10,7,17,0.588235294117647,"mask_uga_grid_21","2008_mask_uga_grid_21"
2009,14,11,25,0.56,"mask_uga_grid_21","2009_mask_uga_grid_21"
2010,30,8,38,0.789473684210526,"mask_uga_grid_21","2010_mask_uga_grid_21"
2011,26,12,38,0.68421052631579,"mask_uga_grid_21","2011_mask_uga_grid_21"
2013,20,35,55,0.363636363636364,"mask_uga_grid_21","2013_mask_uga_grid_21"
2014,34,5,39,0.871794871794872,"mask_uga_grid_21","2014_mask_uga_grid_21"
2015,1,0,1,1,"mask_uga_grid_21","2015_mask_uga_grid_21"
2017,1,0,1,1,"mask_uga_grid_21","2017_mask_uga_grid_21"
2004,0,21,21,0,"mask_uga_grid_22","2004_mask_uga_grid_22"
2005,0,25,25,0,"mask_uga_grid_22","2005_mask_uga_grid_22"
2007,4,31,35,0.114285714285714,"mask_uga_grid_22","2007_mask_uga_grid_22"
2008,1,14,15,0.0666666666666667,"mask_uga_grid_22","2008_mask_uga_grid_22"
2009,6,58,64,0.09375,"mask_uga_grid_22","2009_mask_uga_grid_22"
2010,5,4,9,0.555555555555556,"mask_uga_grid_22","2010_mask_uga_grid_22"
2011,10,15,25,0.4,"mask_uga_grid_22","2011_mask_uga_grid_22"
2012,12,36,48,0.25,"mask_uga_grid_22","2012_mask_uga_grid_22"
2013,56,88,144,0.388888888888889,"mask_uga_grid_22","2013_mask_uga_grid_22"
2014,14,14,28,0.5,"mask_uga_grid_22","2014_mask_uga_grid_22"
2015,0,2,2,0,"mask_uga_grid_22","2015_mask_uga_grid_22"
2017,3,6,9,0.333333333333333,"mask_uga_grid_22","2017_mask_uga_grid_22"
2009,1,3,4,0.25,"mask_uga_grid_23","2009_mask_uga_grid_23"
2011,1,2,3,0.333333333333333,"mask_uga_grid_23","2011_mask_uga_grid_23"
2012,2,5,7,0.285714285714286,"mask_uga_grid_23","2012_mask_uga_grid_23"
2013,12,19,31,0.387096774193548,"mask_uga_grid_23","2013_mask_uga_grid_23"
2014,15,15,30,0.5,"mask_uga_grid_23","2014_mask_uga_grid_23"
2013,1,4,5,0.2,"mask_uga_grid_24","2013_mask_uga_grid_24"
2014,1,12,13,0.0769230769230769,"mask_uga_grid_24","2014_mask_uga_grid_24"
2004,0,36,36,0,"mask_uga_grid_5","2004_mask_uga_grid_5"
2006,0,40,40,0,"mask_uga_grid_5","2006_mask_uga_grid_5"
2008,0,12,12,0,"mask_uga_grid_5","2008_mask_uga_grid_5"
2010,1,2,3,0.333333333333333,"mask_uga_grid_5","2010_mask_uga_grid_5"
2013,9,17,26,0.346153846153846,"mask_uga_grid_5","2013_mask_uga_grid_5"
2014,9,19,28,0.321428571428571,"mask_uga_grid_5","2014_mask_uga_grid_5"
2004,0,18,18,0,"mask_uga_grid_6","2004_mask_uga_grid_6"
2005,0,5,5,0,"mask_uga_grid_6","2005_mask_uga_grid_6"
2006,1,16,17,0.0588235294117647,"mask_uga_grid_6","2006_mask_uga_grid_6"
2008,2,10,12,0.166666666666667,"mask_uga_grid_6","2008_mask_uga_grid_6"
2010,7,20,27,0.259259259259259,"mask_uga_grid_6","2010_mask_uga_grid_6"
2011,2,19,21,0.0952380952380952,"mask_uga_grid_6","2011_mask_uga_grid_6"
2012,2,14,16,0.125,"mask_uga_grid_6","2012_mask_uga_grid_6"
2013,18,34,52,0.346153846153846,"mask_uga_grid_6","2013_mask_uga_grid_6"
2014,11,21,32,0.34375,"mask_uga_grid_6","2014_mask_uga_grid_6"
2015,3,19,22,0.136363636363636,"mask_uga_grid_6","2015_mask_uga_grid_6"
2017,8,12,20,0.4,"mask_uga_grid_6","2017_mask_uga_grid_6"
2004,0,40,40,0,"mask_uga_grid_7","2004_mask_uga_grid_7"
2005,0,38,38,0,"mask_uga_grid_7","2005_mask_uga_grid_7"
2006,1,37,38,0.0263157894736842,"mask_uga_grid_7","2006_mask_uga_grid_7"
2008,2,21,23,0.0869565217391304,"mask_uga_grid_7","2008_mask_uga_grid_7"
2009,0,7,7,0,"mask_uga_grid_7","2009_mask_uga_grid_7"
2010,12,46,58,0.206896551724138,"mask_uga_grid_7","2010_mask_uga_grid_7"
2011,15,51,66,0.227272727272727,"mask_uga_grid_7","2011_mask_uga_grid_7"
2012,16,42,58,0.275862068965517,"mask_uga_grid_7","2012_mask_uga_grid_7"
2013,17,33,50,0.34,"mask_uga_grid_7","2013_mask_uga_grid_7"
2014,30,40,70,0.428571428571429,"mask_uga_grid_7","2014_mask_uga_grid_7"
2015,11,30,41,0.268292682926829,"mask_uga_grid_7","2015_mask_uga_grid_7"
2017,29,22,51,0.568627450980392,"mask_uga_grid_7","2017_mask_uga_grid_7"
2004,0,46,46,0,"mask_uga_grid_8","2004_mask_uga_grid_8"
2008,0,31,31,0,"mask_uga_grid_8","2008_mask_uga_grid_8"
2010,8,40,48,0.166666666666667,"mask_uga_grid_8","2010_mask_uga_grid_8"
2011,11,32,43,0.255813953488372,"mask_uga_grid_8","2011_mask_uga_grid_8"
2012,8,28,36,0.222222222222222,"mask_uga_grid_8","2012_mask_uga_grid_8"
2013,10,26,36,0.277777777777778,"mask_uga_grid_8","2013_mask_uga_grid_8"
2014,13,33,46,0.282608695652174,"mask_uga_grid_8","2014_mask_uga_grid_8"
2004,0,20,20,0,"mask_uga_grid_9","2004_mask_uga_grid_9"
2008,2,55,57,0.0350877192982456,"mask_uga_grid_9","2008_mask_uga_grid_9"
2010,4,61,65,0.0615384615384615,"mask_uga_grid_9","2010_mask_uga_grid_9"
2011,21,41,62,0.338709677419355,"mask_uga_grid_9","2011_mask_uga_grid_9"
2012,15,44,59,0.254237288135593,"mask_uga_grid_9","2012_mask_uga_grid_9"
2013,25,33,58,0.431034482758621,"mask_uga_grid_9","2013_mask_uga_grid_9"
2014,41,19,60,0.683333333333333,"mask_uga_grid_9","2014_mask_uga_grid_9"
